cmd,key1,gesture1,kscore1,gscore1,anot1,key2,gesture2,kscore2,gscore2,anot2,key3,gesture3,kscore3,gscore3,anot3,key4,gesture4,kscore4,gscore4,anot4,key5,gesture5,kscore5,gscore5,anot5,key6,gesture6,kscore6,gscore6,anot6,key7,gesture7,kscore7,gscore7,anot7,key8,gesture8,kscore8,gscore8,anot8,key9,gesture9,kscore9,gscore9,anot9,key10,gesture10,kscore10,gscore10,anot10,key11,gesture11,kscore11,gscore11,anot11,key12,gesture12,kscore12,gscore12,anot12,key13,gesture13,kscore13,gscore13,anot13,key14,gesture14,kscore14,gscore14,anot14,key15,gesture15,kscore15,gscore15,anot15,key16,gesture16,kscore16,gscore16,anot16,key17,gesture17,kscore17,gscore17,anot17,key18,gesture18,kscore18,gscore18,anot18,key19,gesture19,kscore19,gscore19,anot19,key20,gesture20,kscore20,gscore20,anot20
Duplicate,C,directional,7,7,changed from D,D,directional,7,7,,6,CW,4,4,,2,LR,4,4,,+,away,6,7,,D,away,6,6,,D,CW,5,6,,C,top+directional,7,7,,2,pull,7,6,,D,top(double),7,7,,D,top,6,6,,D,pull,7,5,,D,top,6,6,,V,FB,7,6,changed from C,shiftL,top,4,6,changed K score from 3,D,LR,6,6,,menu,top-double,6,7,top-double means a double top push,U,right,7,5,,D,pull,7,7,,D,top,5,6,
Enlarge,D,CW,7,7,,^,away,2,7,,+,pull,7,5,,E,towards,3,5,,+,pull,6,7,,E,top,7,7,,enter,right,7,7,,+,away,7,7,,+,CCW,7,7,,L,pull,7,7,,E,pull,6,7,,E,left,7,4,,S,CW,7,7,,F12,pull,6,7,,A,CW,6,6,,+,right,6,6,,+,CW,7,7,,U,pull,6,6,,O,CW,7,7,,S,CW,6,7,
Find,F,top,7,7,,F,top,7,6,,F,top,6,5,,F,towards,3,3,changed K score from 2,F,away,7,7,,F,top,7,7,,F,top,7,7,,F,top,7,7,,F,FB,7,7,,F,CCW,7,6,,F,left,6,5,,F,top,7,4,,F,top,7,7,,F,top,7,6,,F,top,7,7,,F,top,7,7,changed from right,+,FB,6,6,,L,top,6,6,changed from towards,F,top,7,6,changed from right,F,top,7,7,
Find next,F,right,7,7,,F,right,7,7,,tab,right,4,6,,enter,right,5,5,,>,CW,7,7,,F,away,6,6,changed from top. K score changed from 7. G score changed from 7,F,right,7,7,,F,right,7,7,[coding change from top+right],>,right,7,7,,F,towards,7,7,,F,towards,7,7,,F,CW,7,5,,F,left,7,7,,F,CW,7,6,,F,right,6,6,,F,right,7,7,,+,away,7,7,,L,towards,7,7,,F,right,7,7,,F,right,7,7,changed from left
Find previous,F,left,7,7,,F,left,7,7,,tab,left,4,6,,backspace,CCW,5,5,,<,CCW,7,6,,P,right,5,5,,backspace,left,7,7,,F,left,7,7,[coding change from top+left],<,left,7,7,,F,away,7,7,,F,away,7,5,,F,CCW,7,5,,F,right,7,6,,F,CCW,7,7,,F,left,7,7,,F,left,7,7,,win,left,7,7,changed from menu,L,away,5,5,changed from left,F,left,7,7,,F,left,7,6,
Help,1,away,5,5,,esc,top,6,6,,H,pull,7,5,,?,top,6,4,,?,away,7,7,,H,top,7,7,,?,top,7,7,,F1,top,7,7,,menu,pull,7,6,,H,pull,7,7,,H,top,7,7,,H,left,7,4,,H,top,6,7,,F5,FB,6,5,,F9,top,5,7,,menu,FB,6,6,,+,pull,6,5.5,"G score is written as ""5/6""",M,pull,6,5,,H,pull,7,6,,H,top,7,7,
Increase volume,V,CW,7,7,,P,away,4,7,,spacebar,CW,6,6,,ctrlR,CW,3,5,,+,away,7,7,,V,top,7,7,,>,away,5,7,changed from right,spacebar,away,7,7,changed from top,7,CW,6,7,,V,CW,7,7,changed from 2x top; right.,V,away,7,7,,V,CW,7,7,G Score changed from 5,+,top,7,7,,+,CW,7,6,,+,top,6,6,,+,CW,7,7,,win,CW,6,6,,?,right,7,7,,V,away,7,7,,V,CW,7,7,
Insert,I,top,7,7,,I,towards,7,4,,shift,top,6,7,,enter,top,5,4,,I,away,7,7,,I,top,6,6,,P,LR,7,5,,^,away,7,7,,I,left+right(wiggle),6,6,,I,towards,7,5,,I,top,6,6,,I,left,7,4,,I,top,7,6,,I,FB,6,6,G score changed from 7,I,top,7,7,,I,towards,6,6,,-,top-double,6,7,changed from win,U,CW,6,5,,I,top,7,7,,I,FB,7,6,
Maximize,M,away,7,6,,tab,away,6,7,,9,away,6,6,,S,towards,4,6,,+,CW,7,7,,M,top,7,7,,enter,right,6,7,,M,away,7,7,,F1,pull,6,6,,D,pull,2,7,changed K score from 3,M,left,6,5,,M,pull,7,6,,+,CW,6,7,,F9,CW,6,5,changed from pull and CCW. G score changed from 7,M,pull,6,6,,+,top,7,7,,+,CW,6,6,,M,pull,5,5,changed from U,spacebar,pull,7,7,changed from M. changed from top; away. G score changed from 4,M,pull,5,6,
Menu access,win,top,6,5,,esc,towards,7,7,,menu,top,7,5,,menu,top,6,4,,M,away,7,7,,Q,top,5,5,,menu,LR,7,5,changed from left; FB,menu,top,7,7,,menu,top,7,7,,M,LR,7,4,,M,top,7,7,,M,top,7,4,,menu,top,7,7,,F5,pull,6,7,,F10,top,7,7,,menu,top,7,7,,menu,FB,7,7,changed from win,M,away,6,5,,menu,top,7,7,,M,CW,6,5,
Minimize,M,towards,7,6,,tab,towards,6,7,,1,towards,6,6,,M,away,3,5,,-,CCW,6,7,,M,towards,6,6,,enter,left,6,7,,M,towards,7,7,,F1,LR,6,7,,D,top,4,7,,M,left,7,6,,M,CCW,7,4,,-,CCW,7,7,,F9,CCW,6,5,changed from top. G score changed from 7,M,top,7,7,,-,top,7,7,,-,CCW,7,7,,M,top,6,5,changed from U,spacebar,top,7,7,changed G score from 6,M,FB,5,7,
Move a little,Q,left,2,7,,N,directional,6,7,changed from M. K score changed from 7,F1,directional,4,6,,tab,LR,5,4,,</>,left/right,7,7,,L,towards,6,6,,M,directional,7,5,,ctrl,directional,7,7,,tab,directional,6,7,,B,directional,7,4,,>,top,5,5,,M,left/right,7,4,,N,directional,5,7,changed from M,F12,directional+LR,6,6,,comma,directional,5,6,,M,right,5,5,,win,right,7,7,,U,pull,7,5,,O,left(pulse)/right(pulse),7,7,,J,directional,7,7,
Move a lot,Q,away,2,6,,M,directional,7,7,,F12,directional,6,7,,tab,FB,4,4,,</>,pull,7,7,,L,away,5,6,,M,directional,7,5,,ctrl,directional,7,7,,capslock,directional,6,7,,L,directional,7,7,,>,pull,5,5,,M,left/right,6,6,,M,directional,6,6,,F9,directional+LR,6,6,changed from FB. G score changed from 5,.,directional,7,7,,M,LR,5,5,,-,right,7,7,,U,FB,6,6,,O,left(long)/right(long),7,7,Changed from spacebar. changed from away; towards; CW; CCW.  Hold is duration based,L,directional,6,7,
Next,>,top,4,4,,tab,right,6,7,changed from S,N,right,6,6,,2,right,2,4,,>,top,7,7,,N,top,7,7,,>,right,5,7,,spacebar,right,7,7,,backspace,right,7,7,,H,right,7,7,changed from N,N,right,6,6,,N,right,7,4,changed from left,>,top,7,6,,~,right,7,7,,F,CW,5,6,K score 5 ->6 -> 5,N,right,7,7,,win,right,7,7,,L,right,6,6,,>,right,7,7,changed from N. changed from towards,N,left/right,7,7,changed from top (confusion re: previous?)
Open,O,top,7,5,,O,top,7,5,,enter,top,7,5,,enter,pull,4,4,,O,away,7,7,,O,top,7,7,,O,top,7,7,,enter,top,7,7,,F4,towards,7,7,,O,pull,7,7,,O,top,7,6,,O,top,7,6,,O,away,7,6,,O,pull,7,6,,enter,top,6,7,,O,pull,6,6,,menu,CW,7,7,,M,CW,6,6,,spacebar,pull,7,7,changed from O,O,top,7,7,
